Match,Type,Time,Red1,Red1IsSurrogate,Red2,Red2IsSurrogate,Red3,Red3IsSurrogate,Blue1,Blue1IsSurrogate,Blue2,Blue2IsSurrogate,Blue3,Blue3IsSurrogate
P1,Practice,2024-04-26 12:00:00 -0400 EDT,2501,FALSE,3501,FALSE,7501,FALSE,1501,FALSE,4501,FALSE,6501,FALSE
P2,Practice,2024-04-26 12:06:00 -0400 EDT,7501,FALSE,4501,FALSE,1501,FALSE,6501,FALSE,2501,FALSE,3501,FALSE
P3,Practice,2024-04-26 12:12:00 -0400 EDT,3501,FALSE,1501,FALSE,4501,FALSE,2501,FALSE,7501,FALSE,6501,FALSE
P4,Practice,2024-04-26 12:18:00 -0400 EDT,3501,FALSE,6501,FALSE,7501,FALSE,2501,FALSE,4501,FALSE,1501,FALSE
P5,Practice,2024-04-26 12:24:00 -0400 EDT,6501,FALSE,1501,FALSE,2501,FALSE,7501,FALSE,3501,FALSE,4501,FALSE
P6,Practice,2024-04-26 12:30:00 -0400 EDT,1501,FALSE,7501,FALSE,2501,FALSE,3501,FALSE,6501,FALSE,4501,FALSE
P7,Practice,2024-04-26 12:36:00 -0400 EDT,6501,FALSE,3501,FALSE,1501,FALSE,4501,FALSE,7501,FALSE,2501,FALSE
P8,Practice,2024-04-26 12:42:00 -0400 EDT,4501,FALSE,6501,FALSE,7501,FALSE,1501,FALSE,2501,FALSE,3501,FALSE
P9,Practice,2024-04-26 12:48:00 -0400 EDT,4501,FALSE,2501,FALSE,3501,FALSE,7501,FALSE,1501,FALSE,6501,FALSE
P10,Practice,2024-04-26 12:54:10 -0400 EDT,4501,FALSE,6501,FALSE,2501,FALSE,1501,FALSE,7501,FALSE,3501,FALSE
